crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,27.0,False,True,True,False,918.377192200421,840.6070060694566,1014.2732124545621,74,ok
maize,27.0,False,True,True,True,1022.9177771149859,941.383315326432,1113.2475172615943,74,ok
maize,27.0,True,False,False,False,534.109405471521,489.06604735759197,581.2323224729491,74,ok
maize,27.0,True,False,False,True,643.8551601884034,589.7914930743493,688.1702827050761,74,ok
maize,27.0,True,False,True,False,651.7386547934842,601.8103462969528,710.0967642166597,74,ok
maize,27.0,True,False,True,True,763.0337517377393,702.3210051632468,817.3259806278769,74,ok
maize,27.0,True,True,False,False,1003.3558175335692,907.7223489981392,1110.2279801683694,74,ok
maize,27.0,True,True,False,True,1207.1436474308375,1094.1437807327202,1341.4285186417032,74,ok
maize,27.0,True,True,True,False,1102.5389545603982,1006.7204715844158,1211.846915308837,74,ok
maize,27.0,True,True,True,True,1291.081996582656,1173.9056466104848,1428.812026089042,74,ok
maize,28.0,False,False,False,False,667.6819143936334,635.4768823281634,703.2230020437028,97,ok
maize,28.0,False,False,False,True,776.5886318453449,743.3351343629132,816.1206101391217,97,ok
maize,28.0,False,False,True,False,906.4888418221568,870.4858321471198,955.8587802152938,97,ok
maize,28.0,False,False,True,True,1006.1290046737873,968.4837644645323,1051.1521263750383,97,ok
maize,28.0,False,True,False,False,973.9285334958952,936.8459829938186,1026.1828045639757,97,ok
maize,28.0,False,True,False,True,1102.215531212712,1063.7225931600306,1148.8122470633868,97,ok
maize,28.0,False,True,True,False,1165.7127480366653,1125.0196151778252,1221.0979173233598,97,ok
maize,28.0,False,True,True,True,1263.5214604878738,1220.475666315243,1315.9481194775888,97,ok
maize,28.0,True,False,False,False,687.0592510623585,652.532795628208,728.6757587800267,97,ok
maize,28.0,True,False,False,True,829.0085947970608,799.179846560991,867.4333047285502,97,ok
maize,28.0,True,False,True,False,944.8868530688167,904.5410051440148,999.4340819147108,97,ok
maize,28.0,True,False,True,True,1088.9162913928724,1058.0640962245348,1140.7942360631214,97,ok
