district_code,season,year,lead_months,ndvi_mean,ndvi_climatology_mean,ndvi_anomaly,rainfall_mm,rainfall_climatology_mm,rainfall_anomaly
37,B,2021,4,0.6366396903933486,0.6352042951318045,0.0014353952615440146,438.1002428473397,504.1889195905493,-66.08867674320959
33,B,2021,4,0.5778726935680185,0.5984650200374774,-0.020592326469458855,348.9533681371672,451.6406689591645,-102.68730082199727
36,B,2021,4,0.6643979727500843,0.6680329492098186,-0.003634976459734318,460.26509627236544,512.9579687246933,-52.69287245232783
32,B,2021,4,0.6063733074207546,0.5994311316110301,0.006942175809724449,361.1224146795987,467.5523793824148,-106.42996470281611
57,A,2022,2,0.435929995806672,0.5232000042786433,-0.0872700084719713,189.27627987192196,537.6038856609841,-348.3276057890622
53,A,2022,2,0.5215012446182643,0.5898774882200208,-0.06837624360175654,219.64598000349363,563.150757883023,-343.50477787952934
54,A,2022,2,0.4488536946033565,0.5148881640784552,-0.06603446947509867,177.5612404448978,539.3123998898976,-361.7511594449998
55,A,2022,2,0.4538533848741281,0.5567120985461607,-0.10285871367203259,154.2910919083955,552.1756797854943,-397.88458787709874
56,A,2022,2,0.4717146214498882,0.5780966319788349,-0.10638201052894669,184.52545920036377,572.6690576586709,-388.1435984583071
52,A,2022,2,0.516821422300228,0.5906377629937875,-0.07381634069355947,211.1526573906469,532.7701165154426,-321.6174591247957
51,A,2022,2,0.504891063795547,0.5867641888615014,-0.08187312506595434,186.5240379076019,537.6724565537642,-351.14841864616227
12,A,2022,2,0.5000567596875561,0.568861695178867,-0.06880493549131084,247.2877862913637,566.5595317284136,-319.27174543704996
13,A,2022,2,0.4483992160925242,0.556269903923189,-0.10787068783066478,208.0811359700422,549.0361204926747,-340.95498452263257
11,A,2022,2,0.4938063458225284,0.5557499918145764,-0.06194364599204799,239.34934177481267,569.3818444225695,-330.03250264775687
44,A,2022,2,0.5293838546391083,0.5342617028314773,-0.0048778481923690276,254.97924172853703,668.1525153546401,-413.173273626103
42,A,2022,2,0.5826537716877811,0.5931116681670293,-0.010457896479248219,236.45107092056895,636.4110449199464,-399.9599739993775
45,A,2022,2,0.6009374226031655,0.5934668573502707,0.007470565252894801,267.05774889207004,608.0765628121432,-341.0188139200731
43,A,2022,2,0.6024994717503488,0.5785218633809919,0.023977608369356918,272.5503891088042,760.948092805632,-488.39770369682776
41,A,2022,2,0.5255437656410183,0.5710089314384026,-0.045465165797384244,274.4472212740629,616.511621175987,-342.0643999019241
22,A,2022,2,0.5253455632891888,0.5952345300902333,-0.0698889668010445,276.5274896527046,689.784448705568,-413.2569590528634
24,A,2022,2,0.5215331172770523,0.5634030467912526,-0.04186992951420032,263.26948417012613,675.6982206230717,-412.4287364529456
28,A,2022,2,0.5405873479578036,0.5751026336519572,-0.03451528569415363,244.1714871729905,570.1193998072029,-325.94791263421234
27,A,2022,2,0.5564328204501185,0.5774512964947617,-0.02101847604464313,241.59598546756945,631.7151372206748,-390.11915175310537
25,A,2022,2,0.5461435255023238,0.5629983440811737,-0.01685481857884985,226.37349715174184,789.1854214642077,-562.8119243124659
21,A,2022,2,0.5220400552523785,0.5788589876681618,-0.056818932415783285,254.41556108290945,621.5758942561716,-367.1603331732622
23,A,2022,2,0.5677482497245911,0.5735772872407364,-0.0058290375161452745,255.33196622965224,831.6756801327349,-576.3437139030826
26,A,2022,2,0.5286395547685411,0.5569278808089793,-0.028288326040438183,237.06975954799776,592.6909513481587,-355.62119180016094
