crop,district_code,feature,mean_abs_shap,direction,n_plots,reliability
maize,34.0,soil_ph,0.1702118042929735,negative,255,ok
maize,34.0,soil_nitrogen,0.04692880580401443,positive,255,ok
maize,34.0,soil_carbon,0.019605769186697864,negative,255,ok
maize,34.0,soil_texture_class,0.006525791886404781,positive,255,ok
maize,34.0,rainfall_mm,0.12001956561237614,negative,255,ok
maize,35.0,improved_seed,0.07737790030901119,negative,287,ok
maize,35.0,organic_fert,0.02232131160274955,positive,287,ok
maize,35.0,inorganic_fert,0.181074481130459,negative,287,ok
maize,35.0,pesticide,0.16602493346746688,negative,287,ok
maize,35.0,anti_erosion,0.004471465175913517,positive,287,ok
maize,35.0,land_consolidation,0.03346281959369681,negative,287,ok
maize,35.0,mechanized,0.004662818375587646,positive,287,ok
maize,35.0,irrigated,0.040664381938096315,negative,287,ok
maize,35.0,erosion_degree,0.03326286246856553,negative,287,ok
maize,35.0,plot_area_ha,0.13015823679984578,positive,287,ok
maize,35.0,sowing_month,0.0,positive,287,ok
maize,35.0,soil_ph,0.3957654329079873,negative,287,ok
maize,35.0,soil_nitrogen,0.025584136787002425,negative,287,ok
maize,35.0,soil_carbon,0.02210696284582613,negative,287,ok
maize,35.0,soil_texture_class,0.005417016193827238,positive,287,ok
maize,35.0,rainfall_mm,0.21766995933061176,negative,287,ok
maize,36.0,improved_seed,0.07273429784291673,negative,73,ok
maize,36.0,organic_fert,0.03547847794974874,positive,73,ok
maize,36.0,inorganic_fert,0.15140697949059367,positive,73,ok
maize,36.0,pesticide,0.14455933147128686,negative,73,ok
maize,36.0,anti_erosion,0.009744375725939957,negative,73,ok
maize,36.0,land_consolidation,0.04973366018204445,negative,73,ok
maize,36.0,mechanized,0.010257713731258345,positive,73,ok
maize,36.0,irrigated,0.0272884923815037,negative,73,ok
maize,36.0,erosion_degree,0.027168305129693822,negative,73,ok
maize,36.0,plot_area_ha,0.16907642234146814,positive,73,ok
maize,36.0,sowing_month,0.0,positive,73,ok
maize,36.0,soil_ph,0.1513765809214535,negative,73,ok
maize,36.0,soil_nitrogen,0.04703344529715999,positive,73,ok
maize,36.0,soil_carbon,0.010972197483257696,negative,73,ok
maize,36.0,soil_texture_class,0.00565116682018235,positive,73,ok
maize,36.0,rainfall_mm,0.0839303371862513,positive,73,ok
maize,37.0,improved_seed,0.06836767301669884,negative,199,ok
maize,37.0,organic_fert,0.03278432467101438,positive,199,ok
maize,37.0,inorganic_fert,0.15638055057859324,positive,199,ok
maize,37.0,pesticide,0.16630862343951783,negative,199,ok
maize,37.0,anti_erosion,0.007963233276607622,negative,199,ok
maize,37.0,land_consolidation,0.0665886658443718,positive,199,ok
maize,37.0,mechanized,0.007078851066617015,positive,199,ok
maize,37.0,irrigated,0.019808623222723785,negative,199,ok
maize,37.0,erosion_degree,0.027683576758415984,positive,199,ok
maize,37.0,plot_area_ha,0.15880736716402175,positive,199,ok
maize,37.0,sowing_month,0.0,positive,199,ok
maize,37.0,soil_ph,0.11163434990685143,negative,199,ok
maize,37.0,soil_nitrogen,0.03633910420604871,positive,199,ok
maize,37.0,soil_carbon,0.014106206600929816,negative,199,ok
maize,37.0,soil_texture_class,0.005159154877056285,positive,199,ok
maize,37.0,rainfall_mm,0.09345062130899,positive,199,ok
maize,41.0,improved_seed,0.0593122455661384,negative,186,ok
maize,41.0,organic_fert,0.03081432368556231,positive,186,ok
maize,41.0,inorganic_fert,0.16959932810294875,positive,186,ok
maize,41.0,pesticide,0.1500263301009102,positive,186,ok
maize,41.0,anti_erosion,0.004342697787063818,positive,186,ok
maize,41.0,land_consolidation,0.039722211194116015,negative,186,ok
maize,41.0,mechanized,0.011862371977184517,positive,186,ok
maize,41.0,irrigated,0.03140706453802718,negative,186,ok
maize,41.0,erosion_degree,0.03245950245910591,negative,186,ok
maize,41.0,plot_area_ha,0.1350463878132926,positive,186,ok
maize,41.0,sowing_month,0.0,positive,186,ok
maize,41.0,soil_ph,0.1521407321093001,negative,186,ok
maize,41.0,soil_nitrogen,0.018629092036527753,negative,186,ok
maize,41.0,soil_carbon,0.022386564709027865,negative,186,ok
maize,41.0,soil_texture_class,0.006027402653336239,positive,186,ok
