geo_level,geo_code,crop,season,year,total_production_kg,total_area_ha,yield_kg_ha,yield_kg_ha_ci_low,yield_kg_ha_ci_high,n_plots,n_segments,reliability
district,36.0,beans,A,2023,290531.7815246582,584.5513433576987,497.0167031963794,269.1160997094974,724.9173066832614,11,10,use_with_caution
district,36.0,beans,A,2025,600839.7478637695,783.0950318384922,767.2628779845055,511.9013346984251,1022.6244212705859,14,10,ok
district,36.0,beans,B,2020,796187.0787164307,1262.002901218429,630.8916389556109,458.3184692840281,803.4648086271937,20,12,ok
district,36.0,beans,B,2021,652108.8195304871,1320.9687395162307,493.65953941446367,382.49478234625144,604.8242964826759,32,19,ok
district,36.0,beans,B,2022,678569.9899884033,1228.2999088096417,552.446503595374,445.8495130629276,659.0434941278204,21,14,ok
district,36.0,beans,B,2023,783879.7186889648,1197.8018937722713,654.4318578594581,405.55571566794197,903.3080000509742,22,16,ok
district,36.0,beans,B,2024,988235.7288513184,1406.1148138504254,702.8129702617878,544.1503172979849,861.4756232255907,25,16,ok
district,36.0,beans,B,2025,2411099.786514282,3424.0186172392087,704.1725107377937,620.1794256841318,788.1655957914555,60,21,ok
district,37.0,beans,A,2020,387876.51482460735,1088.3714677664298,356.38247263189714,213.32065603212172,499.44428923167254,17,12,use_with_caution
district,37.0,beans,A,2025,840768.1175537109,880.8304331150728,954.5175620014845,648.0767417477641,1260.958382255205,15,10,ok
district,37.0,beans,B,2020,978678.874159546,1587.7167803864545,616.406456270704,482.01952483585734,750.7933877055507,26,19,ok
district,37.0,beans,B,2021,1145720.857565918,2495.7282926974394,459.0727527985817,381.4142671746546,536.7312384225088,63,21,ok
district,37.0,beans,B,2022,1098604.6853240966,1461.8351412625448,751.5243369886863,563.8077615331953,939.2409124441773,23,14,ok
district,37.0,beans,B,2023,1611580.803527832,2423.1758799218123,665.0696785492237,551.5952521739971,778.5441049244503,40,18,ok
district,37.0,beans,B,2024,1032423.6525344849,1710.5553245171095,603.5605149607999,493.7802881806881,713.3407417409117,29,15,ok
district,37.0,beans,B,2025,3074468.522918701,5251.831539160154,585.4088235683117,528.4914328936716,642.3262142429519,89,31,ok
district,41.0,beans,A,2020,2510563.022307294,4456.360583233325,563.366221250828,487.6834816991999,639.048960802456,76,24,ok
district,41.0,beans,A,2021,1683865.506933594,4137.64261809739,406.9625297188873,357.43023577920223,456.4948236585724,71,25,ok
