district_code,zone_id,crop,season,year,actual_yield_kg_ha,actual_yield_kg_ha_ci_low,actual_yield_kg_ha_ci_high,attainable_yield_kg_ha,yield_gap_kg_ha,yield_gap_pct,n_plots,n_segments,reliability
24.0,2,beans,A,2022,660.5178588072993,418.80208414246147,902.2336334721371,1034.7062121999309,374.1883533926316,36.16372927703358,17,9,suppressed
24.0,2,beans,A,2023,420.0460704751517,357.98150183407876,482.1106391162246,1034.7062121999309,614.6601417247791,59.40431539672747,18,11,ok
24.0,2,beans,A,2024,404.02341332299517,310.48840743715675,497.5584192088336,1034.7062121999309,630.6827988769357,60.95283776599886,35,15,ok
24.0,2,beans,A,2025,603.9523302942964,478.683876218779,729.2207843698138,1034.7062121999309,430.75388190563444,41.63054950542832,50,21,ok
24.0,2,beans,B,2020,411.7721534803894,270.4714622341206,553.0728447266582,1007.0473574111334,595.2752039307439,59.11094444069119,12,12,ok
24.0,2,beans,B,2021,503.38413045434214,367.5704676820893,639.197793226595,1007.0473574111334,503.6632269567912,50.013857168701904,39,20,ok
24.0,2,beans,B,2022,372.4794311460441,52.05224848257711,692.9066138095111,1007.0473574111334,634.5679262650892,63.01271947094966,4,3,suppressed
24.0,2,beans,B,2023,535.6666099310996,395.14408130541244,676.1891385567868,1007.0473574111334,471.38074748003373,46.80820062840298,22,16,ok
24.0,2,beans,B,2024,570.2137262663175,479.3140146658322,661.1134378668029,1007.0473574111334,436.83363114481585,43.37766520412762,29,15,ok
24.0,2,beans,B,2025,367.3017268934273,337.92106022498666,396.68239356186797,1007.0473574111334,639.7456305177061,63.526866518207434,88,28,ok
25.0,1,beans,A,2020,420.3821582192654,299.5605458916653,541.2037705468656,959.6632725874421,539.2811143681766,56.194826849439394,28,20,ok
25.0,1,beans,A,2021,441.6240324761577,389.67246030586267,493.57560464645275,959.6632725874421,518.0392401112844,53.981355222082016,43,22,ok
25.0,1,beans,A,2022,561.4026592578149,473.91618232757867,648.8891361880511,959.6632725874421,398.2606133296272,41.500037013591005,47,24,ok
25.0,1,beans,A,2023,425.8680595566155,343.8732836271153,507.86283548611567,959.6632725874421,533.7952130308265,55.62317828331692,48,26,ok
25.0,1,beans,A,2024,590.0856226287689,521.8868461239359,658.2843991336018,959.6632725874421,369.5776499586732,38.511179964428436,39,20,ok
25.0,1,beans,A,2025,521.194830146367,474.3015800097484,568.0880802829857,959.6632725874421,438.468442441075,45.68982214551958,67,24,ok
25.0,1,beans,B,2020,428.07016360166745,327.8493270459477,528.2910001573872,1091.138752246823,663.0685886451556,60.768494133289195,29,18,ok
25.0,1,beans,B,2021,441.1102969548753,297.88419428534246,584.3363996244082,1091.138752246823,650.0284552919477,59.57340017055015,37,18,ok
25.0,1,beans,B,2022,403.271101532528,356.185451500341,450.356751564715,1091.138752246823,687.867650714295,63.041263019746054,31,21,ok
25.0,1,beans,B,2023,506.0788012899783,404.24431997426046,607.913282605696,1091.138752246823,585.0599509568448,53.619207433712354,50,21,ok
25.0,1,beans,B,2024,576.5471477427519,471.2176189695511,681.8766765159528,1091.138752246823,514.5916045040711,47.16096861599385,37,19,ok
25.0,1,beans,B,2025,572.8304143923003,495.4265820289179,650.2342467556828,1091.138752246823,518.3083378545227,47.50159746294831,68,27,ok
26.0,2,beans,A,2020,495.57931093779325,373.0998652181382,618.0587566574483,1034.7062121999309,539.1269012621376,52.10434564956154,47,23,ok
26.0,2,beans,A,2021,411.2960655400498,277.50198702821456,545.0901440518851,1034.7062121999309,623.4101466598811,60.24996654213793,38,22,ok
26.0,2,beans,A,2022,684.7895939402856,465.41919118642943,904.1599966941418,1034.7062121999309,349.91661825964525,33.8179682439205,14,10,ok
26.0,2,beans,A,2023,265.1147502476002,91.6965674969046,438.53293299829585,1034.7062121999309,769.5914619523306,74.37777534127981,22,16,use_with_caution
26.0,2,beans,A,2024,385.79290014437305,290.97887145505075,480.60692883369535,1034.7062121999309,648.9133120555578,62.71474012665652,30,17,ok
26.0,2,beans,A,2025,365.83832847528817,319.30504915531145,412.3716077952649,1034.7062121999309,668.8678837246428,64.64326548330425,34,18,ok
26.0,2,beans,B,2020,622.1185189965653,546.6746512431628,697.5623867499678,1007.0473574111334,384.9288384145681,38.22350911124217,57,24,ok
26.0,2,beans,B,2021,489.56745063007,365.42993216736915,613.704969092771,1007.0473574111334,517.4799067810634,51.38585618370269,56,27,ok
26.0,2,beans,B,2022,703.201305089126,445.75254506824643,960.6500651100055,1007.0473574111334,303.8460523220074,30.171972557787104,13,9,suppressed
