district_name,gaul_district_code,rainfall_mm,year,season
Bugesera,21974,351.76169533246605,2022,B
Gatsibo,21978,406.89995199287205,2022,B
Kayonza,21984,427.82915420178716,2022,B
Kirehe,21986,403.4229809477962,2022,B
Ngoma,21989,397.17538233212866,2022,B
Nyagatare,21992,336.9318492156713,2022,B
Rwamagana,22003,395.9197721425156,2022,B
Gasabo,21977,393.19019301758135,2022,B
Kicukiro,21985,381.7877264767346,2022,B
Nyarugenge,21996,396.6934556633775,2022,B
Burera,21975,451.89283126332964,2022,B
Gakenke,21976,443.04946219530547,2022,B
Gicumbi,21979,422.4180266360539,2022,B
Musanze,21988,484.78965624197826,2022,B
Rulindo,22000,431.1940766726414,2022,B
Gisagara,21980,469.94117897308655,2022,B
Huye,21981,492.8563700870557,2022,B
Kamonyi,21982,393.7289624759121,2022,B
Muhanga,21987,398.46775119436853,2022,B
Nyamagabe,21993,474.3758594113347,2022,B
Nyanza,21995,438.72020457658203,2022,B
Nyaruguru,21997,487.545612759242,2022,B
Ruhango,21999,414.0305146806109,2022,B
Karongi,21983,415.67214221468095,2022,B
Ngororero,21990,422.0087963969524,2022,B
Nyabihu,21991,465.2931134728755,2022,B
Nyamasheke,21994,493.47107952053796,2022,B
Rubavu,21998,396.49741856826927,2022,B
Rusizi,22001,475.9572755785493,2022,B
Rutsiro,22002,402.48553361387314,2022,B
Bugesera,21974,480.7103053134929,2023,A
Gatsibo,21978,573.8290977000086,2023,A
Kayonza,21984,552.6592779799375,2023,A
Kirehe,21986,526.194285927093,2023,A
Ngoma,21989,498.61884231217294,2023,A
Nyagatare,21992,560.026767732343,2023,A
Rwamagana,22003,482.5208188080551,2023,A
Gasabo,21977,504.8187001256411,2023,A
Kicukiro,21985,485.9907643535805,2023,A
Nyarugenge,21996,490.45019207054906,2023,A
Burera,21975,609.0547755105345,2023,A
Gakenke,21976,584.6313317674776,2023,A
Gicumbi,21979,538.3351748622484,2023,A
Musanze,21988,719.3657130899234,2023,A
Rulindo,22000,546.6771112572849,2023,A
Gisagara,21980,658.19190803279,2023,A
Huye,21981,622.8382954791208,2023,A
Kamonyi,21982,495.3518108126223,2023,A
Muhanga,21987,553.8489140221008,2023,A
Nyamagabe,21993,664.6337020200882,2023,A
Nyanza,21995,561.7515131346632,2023,A
Nyaruguru,21997,725.9163535495644,2023,A
Ruhango,21999,513.6690894805141,2023,A
Karongi,21983,559.6912844873141,2023,A
Ngororero,21990,599.376569621345,2023,A
Nyabihu,21991,689.6976135992123,2023,A
Nyamasheke,21994,664.0553458253235,2023,A
Rubavu,21998,590.5442178769312,2023,A
Rusizi,22001,709.2452435247018,2023,A
Rutsiro,22002,551.6417187336491,2023,A
Bugesera,21974,400.72704791032083,2023,B
Gatsibo,21978,430.88826003899254,2023,B
Kayonza,21984,387.2752186472294,2023,B
Kirehe,21986,412.6774504594575,2023,B
Ngoma,21989,433.0161443535218,2023,B
Nyagatare,21992,429.3566116022924,2023,B
Rwamagana,22003,415.6559246205793,2023,B
Gasabo,21977,443.72184939170705,2023,B
Kicukiro,21985,398.7152438077498,2023,B
Nyarugenge,21996,432.32661886464456,2023,B
Burera,21975,617.9253306595052,2023,B
Gakenke,21976,626.9831053839121,2023,B
Gicumbi,21979,569.9196140858189,2023,B
Musanze,21988,738.9208696215003,2023,B
Rulindo,22000,585.1234221379842,2023,B
Gisagara,21980,498.7535921909082,2023,B
Huye,21981,508.64598415258166,2023,B
Kamonyi,21982,468.51966463640844,2023,B
Muhanga,21987,583.0206129024698,2023,B
Nyamagabe,21993,670.7145053719744,2023,B
Nyanza,21995,505.8479840100552,2023,B
Nyaruguru,21997,617.2882056874511,2023,B
Ruhango,21999,506.56168999934545,2023,B
Karongi,21983,586.2299962358686,2023,B
Ngororero,21990,637.0305697371954,2023,B
Nyabihu,21991,727.3889912304126,2023,B
Nyamasheke,21994,652.6705150030435,2023,B
Rubavu,21998,592.7203669250194,2023,B
Rusizi,22001,647.8635046432252,2023,B
Rutsiro,22002,577.921698895832,2023,B
