nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
52,Nyagatare,0.6424161548420092,0.7462291817339266,316.8905441356544,2020,B,2
51,Rwamagana,0.6504804943638391,0.766612805839554,338.4747980206793,2020,B,2
12,Gasabo,0.5650582321416499,0.7076961562573947,331.73115110674456,2020,B,2
13,Kicukiro,0.501488886732714,0.6172973694500774,318.38903868094434,2020,B,2
11,Nyarugenge,0.4915318319476893,0.6391125348097179,314.7985826720947,2020,B,2
44,Burera,0.5345685897211044,0.701787898829084,354.6448676464909,2020,B,2
42,Gakenke,0.5712765178480109,0.7607640898458876,356.3511952547285,2020,B,2
45,Gicumbi,0.5823472111355661,0.7681064999529882,362.5419528591084,2020,B,2
43,Musanze,0.5524447952449688,0.7219372219544324,367.1233965565653,2020,B,2
41,Rulindo,0.5870955842352258,0.7510826608499457,361.72774195857824,2020,B,2
22,Gisagara,0.6410916253207525,0.7466846076310963,378.14882366226647,2020,B,2
24,Huye,0.6035498433888463,0.7434333717588375,373.2439544743118,2020,B,2
28,Kamonyi,0.5350686563421374,0.6913579682593555,313.07816235907785,2020,B,2
27,Muhanga,0.5255508771551981,0.7140718266362257,344.6588195236497,2020,B,2
25,Nyamagabe,0.5816727340451775,0.7578119218118778,400.7946954203719,2020,B,2
21,Nyanza,0.5833194633378308,0.7256262043682385,350.1848646181395,2020,B,2
23,Nyaruguru,0.5871466679174359,0.7570784802259102,439.72983994918087,2020,B,2
26,Ruhango,0.532751316551117,0.6912929296768304,341.27292140275085,2020,B,2
31,Karongi,0.647238369855127,0.7804493467921018,340.1998065016244,2020,B,2
35,Ngororero,0.5480225387705764,0.758228591437301,347.0157441353867,2020,B,2
34,Nyabihu,0.5455640237448329,0.7649446388998153,344.1225348321808,2020,B,2
37,Nyamasheke,0.6368853711931395,0.7911499985511539,378.8860180618831,2020,B,2
33,Rubavu,0.540331415118122,0.730905131400889,291.06239331395113,2020,B,2
36,Rusizi,0.6551088306766717,0.8018343106941737,401.6979192188245,2020,B,2
32,Rutsiro,0.5977695381736542,0.7862818720411338,331.6564130875669,2020,B,2
57,Bugesera,0.5464799949379995,0.694027609501296,337.8233608038695,2020,B,3
53,Gatsibo,0.6266675268095885,0.7630407934655484,427.2686001864443,2020,B,3
54,Kayonza,0.6024275065823241,0.7357544766861959,446.6075433060503,2020,B,3
55,Kirehe,0.602697816727271,0.7618416479608768,405.20207364761,2020,B,3
56,Ngoma,0.6009831787433979,0.7394409487992538,388.8067217992808,2020,B,3
52,Nyagatare,0.6464089868857066,0.7638767480734778,373.5525302071566,2020,B,3
51,Rwamagana,0.6464951219150618,0.7703337564738691,387.3248898530869,2020,B,3
12,Gasabo,0.5648828437949933,0.7222763306495795,370.96809581723744,2020,B,3
13,Kicukiro,0.4935955679949027,0.6282566758101453,359.2960271046031,2020,B,3
11,Nyarugenge,0.4958100513792061,0.6605468451450331,357.01687243607984,2020,B,3
44,Burera,0.5499252617007783,0.7300844078970882,413.6499681187607,2020,B,3
42,Gakenke,0.5792212973119885,0.7771238053864389,411.67541297120033,2020,B,3
45,Gicumbi,0.6000969658913282,0.7913029538616128,406.2884921599959,2020,B,3
43,Musanze,0.5652943419957498,0.7599270950840173,484.7857330569849,2020,B,3
41,Rulindo,0.5845076272479381,0.7698602889915541,403.0268416058349,2020,B,3
22,Gisagara,0.6180604076377917,0.7550163501429913,463.4335108870301,2020,B,3
24,Huye,0.5846214784291157,0.7546814925924131,473.1146025952151,2020,B,3
28,Kamonyi,0.543206991479405,0.7125704335159382,361.0084474728985,2020,B,3
27,Muhanga,0.5288507081033751,0.7369462862710788,410.7569729889199,2020,B,3
25,Nyamagabe,0.5868337169142215,0.7851540868689451,527.001042337864,2020,B,3
21,Nyanza,0.5845007763033131,0.7444364816872664,422.3253565888156,2020,B,3
23,Nyaruguru,0.5921441251108448,0.7956548276351393,569.9923737352286,2020,B,3
26,Ruhango,0.5361973188289089,0.7125537858211526,405.4527217739571,2020,B,3
31,Karongi,0.6411511864396684,0.7910834030840228,440.8819735168983,2020,B,3
35,Ngororero,0.548380474019221,0.7665588614122076,447.4907786821298,2020,B,3
34,Nyabihu,0.5636655851322397,0.7845841681020258,473.4775598038856,2020,B,3
37,Nyamasheke,0.6519449246758914,0.8241881907110312,506.7057993214081,2020,B,3
33,Rubavu,0.5922110017789929,0.7865264129200951,407.5971364031693,2020,B,3
36,Rusizi,0.6721405294695333,0.8384415646200578,524.1605797358122,2020,B,3
32,Rutsiro,0.6284061771433997,0.8153055090069956,426.2378977978742,2020,B,3
57,Bugesera,0.5356667224695266,0.6961013563914384,343.6871385954964,2020,B,4
53,Gatsibo,0.6178247772672112,0.7637987690696559,433.1403346226962,2020,B,4
54,Kayonza,0.5947915834392574,0.7364498166965495,451.386451740047,2020,B,4
55,Kirehe,0.5990721845078758,0.7623616653570098,409.1804334261455,2020,B,4
56,Ngoma,0.5976324645636117,0.7408229855043361,393.732683015837,2020,B,4
52,Nyagatare,0.6258991742366478,0.7641838838502436,380.5060685462756,2020,B,4
51,Rwamagana,0.6372683015994529,0.771078574591283,391.3810543158327,2020,B,4
12,Gasabo,0.5674495114261534,0.724659809461026,375.7568797291771,2020,B,4
