nisr_district_code,district_name,ndvi_mean,year,season
23,Nyaruguru,0.5927567126890891,2022,A
26,Ruhango,0.5464743314288973,2022,A
31,Karongi,0.6034401368583668,2022,A
35,Ngororero,0.595791939798819,2022,A
34,Nyabihu,0.6138075096685879,2022,A
37,Nyamasheke,0.6286228741427363,2022,A
33,Rubavu,0.5764694126844858,2022,A
36,Rusizi,0.6468518634762275,2022,A
32,Rutsiro,0.5815883304418858,2022,A
57,Bugesera,0.5547074281301172,2022,B
53,Gatsibo,0.6275300352877115,2022,B
54,Kayonza,0.5772065103255434,2022,B
55,Kirehe,0.6096761438806282,2022,B
56,Ngoma,0.6191442203952362,2022,B
52,Nyagatare,0.6217976501132181,2022,B
51,Rwamagana,0.623127634424787,2022,B
12,Gasabo,0.5632823153955081,2022,B
13,Kicukiro,0.5215383758043106,2022,B
11,Nyarugenge,0.5542996992660988,2022,B
44,Burera,0.5376736688571895,2022,B
42,Gakenke,0.5871885986943539,2022,B
45,Gicumbi,0.6317437209137463,2022,B
43,Musanze,0.5153368671575843,2022,B
41,Rulindo,0.5930103395293819,2022,B
22,Gisagara,0.6331690184341069,2022,B
24,Huye,0.5895692820290025,2022,B
28,Kamonyi,0.580594220465102,2022,B
27,Muhanga,0.5647271967958454,2022,B
25,Nyamagabe,0.5376575828575105,2022,B
21,Nyanza,0.6023072911600296,2022,B
23,Nyaruguru,0.5611923252169431,2022,B
26,Ruhango,0.5716711548691794,2022,B
31,Karongi,0.6075708082780273,2022,B
35,Ngororero,0.5743018599043295,2022,B
34,Nyabihu,0.5609225126066181,2022,B
37,Nyamasheke,0.6512660066745861,2022,B
33,Rubavu,0.5935148710351204,2022,B
36,Rusizi,0.6595783568042874,2022,B
32,Rutsiro,0.5786541845092479,2022,B
57,Bugesera,0.526379215592484,2023,A
53,Gatsibo,0.6079039417606162,2023,A
54,Kayonza,0.5189996889926091,2023,A
55,Kirehe,0.5542219450496358,2023,A
56,Ngoma,0.5693108082613342,2023,A
52,Nyagatare,0.6099547314362298,2023,A
51,Rwamagana,0.5528670699847581,2023,A
12,Gasabo,0.5366810925251106,2023,A
13,Kicukiro,0.4866313225106028,2023,A
11,Nyarugenge,0.5332316912331516,2023,A
44,Burera,0.5584896052395841,2023,A
42,Gakenke,0.6160144035408914,2023,A
45,Gicumbi,0.6148417059892671,2023,A
43,Musanze,0.5824821946485256,2023,A
41,Rulindo,0.5880352274998819,2023,A
22,Gisagara,0.570047137035139,2023,A
24,Huye,0.5691714378491932,2023,A
28,Kamonyi,0.5602676162297466,2023,A
27,Muhanga,0.5787546903336294,2023,A
25,Nyamagabe,0.5815618081338861,2023,A
21,Nyanza,0.5546541500925041,2023,A
23,Nyaruguru,0.6068578041000147,2023,A
26,Ruhango,0.5419669060885174,2023,A
31,Karongi,0.5996110590837036,2023,A
35,Ngororero,0.5847480294663373,2023,A
34,Nyabihu,0.6160653456184462,2023,A
37,Nyamasheke,0.613613795630839,2023,A
33,Rubavu,0.560779208555621,2023,A
36,Rusizi,0.6286321900972885,2023,A
32,Rutsiro,0.5642299530638862,2023,A
57,Bugesera,0.52888054033082,2023,B
53,Gatsibo,0.6099425802583012,2023,B
54,Kayonza,0.5452083730811945,2023,B
55,Kirehe,0.5861486150446019,2023,B
56,Ngoma,0.5722828782512938,2023,B
52,Nyagatare,0.6164792247364829,2023,B
51,Rwamagana,0.6061430321212892,2023,B
12,Gasabo,0.5430473674797002,2023,B
13,Kicukiro,0.48910045798254914,2023,B
11,Nyarugenge,0.509143011247633,2023,B
44,Burera,0.550790638858875,2023,B
42,Gakenke,0.6005382562066984,2023,B
45,Gicumbi,0.6157719134502313,2023,B
43,Musanze,0.5340982582435809,2023,B
41,Rulindo,0.5704068021764599,2023,B
22,Gisagara,0.6141155164468641,2023,B
24,Huye,0.5899125269422557,2023,B
28,Kamonyi,0.5624768863910994,2023,B
27,Muhanga,0.566248359825484,2023,B
25,Nyamagabe,0.600626705903683,2023,B
21,Nyanza,0.5831111217523554,2023,B
23,Nyaruguru,0.6110906203246748,2023,B
26,Ruhango,0.5647962839466709,2023,B
31,Karongi,0.622340418930477,2023,B
35,Ngororero,0.5583764714786098,2023,B
34,Nyabihu,0.5307298249128294,2023,B
37,Nyamasheke,0.6701148501754227,2023,B
33,Rubavu,0.5727514660530364,2023,B
36,Rusizi,0.6891872205549238,2023,B
32,Rutsiro,0.5894194389366006,2023,B
57,Bugesera,0.5457802723708347,2024,A
53,Gatsibo,0.6349701259977586,2024,A
54,Kayonza,0.5659281903034807,2024,A
55,Kirehe,0.6057236891212142,2024,A
56,Ngoma,0.5917032430342669,2024,A
52,Nyagatare,0.6529902701522342,2024,A
51,Rwamagana,0.601630597714334,2024,A
12,Gasabo,0.5761384932172475,2024,A
13,Kicukiro,0.5158570969496242,2024,A
11,Nyarugenge,0.5670582249593257,2024,A
44,Burera,0.5964238214594183,2024,A
42,Gakenke,0.6680882062771808,2024,A
45,Gicumbi,0.6349249788517001,2024,A
43,Musanze,0.6180418966863717,2024,A
41,Rulindo,0.6454710327956894,2024,A
22,Gisagara,0.6063830428501858,2024,A
24,Huye,0.5987084012248707,2024,A
28,Kamonyi,0.6063668167846554,2024,A
27,Muhanga,0.6387197917659195,2024,A
25,Nyamagabe,0.6094186920835253,2024,A
21,Nyanza,0.5993004044928273,2024,A
23,Nyaruguru,0.6188016524118968,2024,A
26,Ruhango,0.5989487162160252,2024,A
31,Karongi,0.6467412406700579,2024,A
35,Ngororero,0.6425920323711638,2024,A
34,Nyabihu,0.6285402602037914,2024,A
37,Nyamasheke,0.6295411074937749,2024,A
33,Rubavu,0.5556392793684486,2024,A
36,Rusizi,0.6340250711825606,2024,A
32,Rutsiro,0.560114534723749,2024,A
57,Bugesera,0.5632899838426513,2024,B
53,Gatsibo,0.5966076369815322,2024,B
54,Kayonza,0.5319586706779112,2024,B
55,Kirehe,0.6013163314672425,2024,B
56,Ngoma,0.5996396045021725,2024,B
52,Nyagatare,0.580492104951321,2024,B
51,Rwamagana,0.6022780817620002,2024,B
12,Gasabo,0.5505901956593148,2024,B
13,Kicukiro,0.494036034587158,2024,B
11,Nyarugenge,0.553175617355197,2024,B
44,Burera,0.5837794530209227,2024,B
42,Gakenke,0.6428489796194358,2024,B
45,Gicumbi,0.6292329216827189,2024,B
43,Musanze,0.6007655227570408,2024,B
41,Rulindo,0.6196348222022355,2024,B
22,Gisagara,0.6172374559580294,2024,B
24,Huye,0.6205663777062139,2024,B
28,Kamonyi,0.5640573018652765,2024,B
27,Muhanga,0.597446992275526,2024,B
25,Nyamagabe,0.6484634672198404,2024,B
21,Nyanza,0.6007622073726377,2024,B
23,Nyaruguru,0.6610423521405743,2024,B
26,Ruhango,0.5724511297186108,2024,B
31,Karongi,0.673923485103008,2024,B
35,Ngororero,0.6218434454926117,2024,B
34,Nyabihu,0.6165649201510841,2024,B
37,Nyamasheke,0.6878788491045609,2024,B
33,Rubavu,0.6444247509896265,2024,B
36,Rusizi,0.7071834549166114,2024,B
32,Rutsiro,0.6671494746799288,2024,B
57,Bugesera,0.5093532176114763,2025,A
53,Gatsibo,0.5821789778194569,2025,A
54,Kayonza,0.4992537504761105,2025,A
55,Kirehe,0.551233691438044,2025,A
56,Ngoma,0.5629003976169541,2025,A
52,Nyagatare,0.5665213612377468,2025,A
51,Rwamagana,0.556418831129367,2025,A
12,Gasabo,0.5190803522823406,2025,A
13,Kicukiro,0.4830308553309621,2025,A
11,Nyarugenge,0.5275288719092637,2025,A
44,Burera,0.5837394629271064,2025,A
42,Gakenke,0.6402158241038332,2025,A
45,Gicumbi,0.6162513231615633,2025,A
43,Musanze,0.614034242326021,2025,A
41,Rulindo,0.5919872927753864,2025,A
22,Gisagara,0.5914948888723605,2025,A
